NUM|IN_TYPE|TRADE_ID|TRADE_ID_T|BRCA|PARENTBRCA|BRCA_CO|PARENTBRCA_CO|CSNM|CTNM|DTYP|CCY|PSTA|PSTD|RSMK|REMK|TRADE_ID_O|VALD|CNLSC|SYS_DATE|
22200202|1|0606S11100000831||0606|0606|0606|0606|1001959|协昱电子科技（中山）有限公司|1|CNY|21277.5300|20180531||||20180531|GAR|20180702|
500110|1|0606S11100000832||0606|0606|0606|0606|1001959|协昱电子科技（中山）有限公司|1|CNY|21277.5300|20180531||||20180531|GAR|20180702|
22200202|1|0606S11100000851||0606|0606|0606|0606|1002597|中山广扬包装材料有限公司|1|CNY|2496.8900|20180531||||20180531|GAR|20180702|
500110|1|0606S11100000852||0606|0606|0606|0606|1002597|中山广扬包装材料有限公司|1|CNY|2496.8900|20180531||||20180531|GAR|20180702|
22200202|1|0606S11100000861||0606|0606|0606|0606|1002631|中山中健环保包装股份有限公司|1|CNY|25671.1400|20180531||||20180531|GAR|20180702|
500110|1|0606S11100000862||0606|0606|0606|0606|1002631|中山中健环保包装股份有限公司|1|CNY|25671.1400|20180531||||20180531|GAR|20180702|
22200202|1|0606S11100000871||0606|0606|0606|0606|1002597|中山广扬包装材料有限公司|1|CNY|9197.0600|20180531||||20180531|GAR|20180702|
500110|1|0606S11100000872||0606|0606|0606|0606|1002597|中山广扬包装材料有限公司|1|CNY|9197.0600|20180531||||20180531|GAR|20180702|
22200202|1|0606S11100000892||0606|0606|0606|0606|1002597|中山广扬包装材料有限公司|1|CNY|14828.9000|20180604||||20180604|GAR|20180702|
22200202|1|0606S11100000952||0606|0606|0606|0606|1001959|协昱电子科技（中山）有限公司|1|CNY|18953.2500|20180608||||20180608|GAR|20180702|
22200202|1|0606S11100000972||0606|0606|0606|0606|1001957|东莞市康特金属制品有限公司|1|CNY|32793.2900|20180608||||20180608|GAR|20180702|
22200202|1|0606S11100000992||0606|0606|0606|0606|1001957|东莞市康特金属制品有限公司|1|CNY|8744.1300|20180608||||20180608|GAR|20180702|
22200202|1|0606S11100001004||0606|0606|0606|0606|1001957|东莞市康特金属制品有限公司|1|CNY|3235.0900|20180611||||20180611|GAR|20180702|
500110|1|0606S11100001005||0606|0606|0606|0606|1001957|东莞市康特金属制品有限公司|1|CNY|3235.0900|20180611||||20180611|GAR|20180702|
22200202|1|0606S11100001014||0606|0606|0606|0606|1001959|协昱电子科技（中山）有限公司|1|CNY|6109.9200|20180611||||20180611|GAR|20180702|
500110|1|0606S11100001015||0606|0606|0606|0606|1001959|协昱电子科技（中山）有限公司|1|CNY|6109.9200|20180611||||20180611|GAR|20180702|
22200202|1|0606S11100001024||0606|0606|0606|0606|1002597|中山广扬包装材料有限公司|1|CNY|1357.5900|20180611||||20180611|GAR|20180702|
500110|1|0606S11100001025||0606|0606|0606|0606|1002597|中山广扬包装材料有限公司|1|CNY|1357.5900|20180611||||20180611|GAR|20180702|
22200202|1|0606S11100001034||0606|0606|0606|0606|1002631|中山中健环保包装股份有限公司|1|CNY|6453.9100|20180611||||20180611|GAR|20180702|
500110|1|0606S11100001035||0606|0606|0606|0606|1002631|中山中健环保包装股份有限公司|1|CNY|6453.9100|20180611||||20180611|GAR|20180702|
22200202|1|0606S11100001052||0606|0606|0606|0606|1002631|中山中健环保包装股份有限公司|1|CNY|35964.9600|20180613||||20180613|GAR|20180702|
22200202|1|0606S11100001072||0606|0606|0606|0606|1002631|中山中健环保包装股份有限公司|1|CNY|2057.0700|20180613||||20180613|GAR|20180702|
22200202|1|0606S11100001081||0606|0606|0606|0606|1001957|东莞市康特金属制品有限公司|1|CNY|35676.7500|20180629||||20180629|GAR|20180702|
500110|1|0606S11100001082||0606|0606|0606|0606|1001957|东莞市康特金属制品有限公司|1|CNY|35676.7500|20180629||||20180629|GAR|20180702|
22200202|1|0606S11100001101||0606|0606|0606|0606|1001959|协昱电子科技（中山）有限公司|1|CNY|17625.8900|20180629||||20180629|GAR|20180702|
500110|1|0606S11100001102||0606|0606|0606|0606|1001959|协昱电子科技（中山）有限公司|1|CNY|17625.8900|20180629||||20180629|GAR|20180702|
22200202|1|0606S11100001121||0606|0606|0606|0606|1001959|协昱电子科技（中山）有限公司|1|CNY|6160.8800|20180629||||20180629|GAR|20180702|
500110|1|0606S11100001122||0606|0606|0606|0606|1001959|协昱电子科技（中山）有限公司|1|CNY|6160.8800|20180629||||20180629|GAR|20180702|
22200202|1|0606S11100001131||0606|0606|0606|0606|1002597|中山广扬包装材料有限公司|1|CNY|13610.8400|20180629||||20180629|GAR|20180702|
500110|1|0606S11100001132||0606|0606|0606|0606|1002597|中山广扬包装材料有限公司|1|CNY|13610.8400|20180629||||20180629|GAR|20180702|
22200202|1|0606S11100001151||0606|0606|0606|0606|1002631|中山中健环保包装股份有限公司|1|CNY|23512.7600|20180629||||20180629|GAR|20180702|
500110|1|0606S11100001152||0606|0606|0606|0606|1002631|中山中健环保包装股份有限公司|1|CNY|23512.7600|20180629||||20180629|GAR|20180702|
50031102|3|0607101000000103||0606|0606|0606|0606|1003324|腾辉电子（苏州）有限公司|1|CNY|3359.6400|20171109||||20171109|GAR|20180702|
50031102|3|0607101000000123||0606|0606|0606|0606|1003324|腾辉电子（苏州）有限公司|1|CNY|8657.2700|20171115||||20171115|GAR|20180702|
113212|2|0607101000000131||0606|0606|0606|0606|1003324|腾辉电子（苏州）有限公司|1|CNY|8983.9500|20171130||||20171130|GAR|20180702|
50031102|3|0607101000000153||0606|0606|0606|0606|1003324|腾辉电子（苏州）有限公司|1|CNY|10179.0000|20171211||||20171211|GAR|20180702|
50031102|3|0607101000000173||0606|0606|0606|0606|1003324|腾辉电子（苏州）有限公司|1|CNY|4807.2000|20171212||||20171212|GAR|20180702|
113212|2|0607101000000181||0606|0606|0606|0606|1003324|腾辉电子（苏州）有限公司|1|CNY|28860.9700|20171231||||20171231|GAR|20180702|
50031102|3|0607101000000203||0606|0606|0606|0606|1003324|腾辉电子（苏州）有限公司|1|CNY|17276.3100|20180115||||20180115|GAR|20180702|
113212|2|0607101000000211||0606|0606|0606|0606|1003324|腾辉电子（苏州）有限公司|1|CNY|47823.1600|20180131||||20180131|GAR|20180702|
50031102|3|0607101000000233||0606|0606|0606|0606|1003324|腾辉电子（苏州）有限公司|1|CNY|6825.9400|20180213||||20180213|GAR|20180702|
113212|2|0607101000000241||0606|0606|0606|0606|1003324|腾辉电子（苏州）有限公司|1|CNY|57053.0900|20180228||||20180228|GAR|20180702|
113212|2|0607101000000255||0606|0606|0606|0606|1003324|腾辉电子（苏州）有限公司|1|CNY|59748.3600|20180306||||20180306|GAR|20180702|
50031102|3|0607101000000273||0606|0606|0606|0606|1003324|腾辉电子（苏州）有限公司|1|CNY|10574.8400|20180307||||20180307|GAR|20180702|
50031102|3|0607101000000293||0606|0606|0606|0606|1003324|腾辉电子（苏州）有限公司|1|CNY|11347.2700|20180316||||20180316|GAR|20180702|
113212|2|0607101000000305||0606|0606|0606|0606|1003324|腾辉电子（苏州）有限公司|1|CNY|27897.9500|20180327||||20180327|GAR|20180702|
50031102|3|0607101000000323||0606|0606|0606|0606|1003324|腾辉电子（苏州）有限公司|1|CNY|4341.5200|20180327||||20180327|GAR|20180702|
